id,tier,score,bucket,theme,type,title,what,why,modules,effort,impact,depends_on,novelty,status,evidence,notes
R001,1 - Do First,88,B6,"UX, Visualization & LLM",fix,Ground assistant in real args; kill fabricated prose,"Rewrite ui/tab_assistant.py _build_response to answer only from freight/macro/stock args (route via the existing rule-based engine/narration_engine), deleting hardcoded specifics and fake vendor source footers.","Flagship assistant fabricates numbers (Hapag 58.2%, ZIM $200-250M EBITDA, Panama transit counts) and stamps real-vendor sources (Clarksons/Kpler/Bloomberg) on them; a reader cannot tell real from inv…",ui/tab_assistant.py; engine/narration_engine.py,M,High,,new,SHIPPED 73f3aa1,"tab_assistant.py:486 '58.2% on-time'; :356 'Source: Clarksons Research, Kpler'; :399 '$200-250M EBITDA' — verbatim","[done 2026-06-04] impact95/feas85/fit98/nov70: kills the worst honesty defect, directly on throughline, evidence verbatim | Confirmed verbatim; narration_engine is a reuse target (not imported by t…"
R002,1 - Do First,88,B5,"Ops, Resilience & Alerting",feature,Replace random.randint booking with rate_forecaster LOCK/RIDE/SPLIT engine,New processing/rate_lock_decision.py turns forecast_route() (direction/CI_30d/confidence) into a LOCK/RIDE/SPLIT verdict w/ $/FEU savings+breakeven; replace random.randint rows in tab_booking _contract_vs_spot_analysis + _optimal_booking_w…,"Booking's headline rec is fabricated from rng.randint(1800,3200); a live ML GBR forecast (RateForecast) exists but booking never imports it — facade becomes defensible.",processing/rate_lock_decision.py(new); processing/rate_forecaster.py; ui/tab_booking.py; app.py:1526(fix scrambled args),M,High,,sharpened,verified-revised,tab_booking.py:316-320 rng LTC/spot (verified); rate_forecaster.py:43-55 RateForecast unused by booking; app.py:1526 passes freight+macro but positio…,"impact92/feas85/fit95/nov72; kills the worst ops facade, reuses live GBR forecast, throughline-perfect | Confirmed: rate_lock_decision absent, no LOCK/RIDE/SPLIT, RateForecast fie…"
R003,1 - Do First,87,B1,Honesty & Real Data,infra,Per-fetch realness ledger every feed stamps (record_fetch + persisted),"Add record_fetch(feed,kind,ts) in data/quality.py wrapping hot-path returns in a DataSource, persist per-fetch realness to a new state/db table; degrade dependent-signal confidence when a feed is synthetic/cached, enabling realness-at-issu…","DataSource exists (quality.py:71/157) but hot paths return bare dicts; data_source_health stores only liveness — no fetch-realness ledger, so no signal can prove which feeds were real when issued.",data/quality.py; data/cache_manager.py; data/ais_feed.py; engine/source_health.py; state/db.py,M,High,,sharpened,verified,"quality.py:71 DataSource,:157 to_dict; no record_fetch anywhere; ais_feed.py:236 source='synthetic_baseline' bare dict; source_health.py:227 _record_…",impact90/feas78/fit95/nov80; the keystone enabler — every other realness flip hangs off this; verified absent | Verified absent grep-wide; bare hot paths + wrapped variants both p…
R004,1 - Do First,86,B2,Track Record & Coherent Risk,feature,"Freeze every EquityIdea at issue into a point-in-time signal ledger, marked daily to live…","Daily scheduler job freezes each score_equity_ideas() EquityIdea (ticker/direction/conviction_score/label/weight_set + issue close) into a new signal_ledger table (schema v29), never refit; mark_to_market builds a forward, un-refittable pe…",Provenance admits no signal ever scored vs realized P&L (DATA_PROVENANCE:113-114). signal_validation applies TODAY's signal to past windows (look-ahead); a frozen at-issue ledger on real yfinance clo…,processing/disruption_cascade.py; data/stock_feed.py; processing/signal_validation.py; worker/scheduler.py; state/db.py,L,High,,sharpened,verified-revised,disruption_cascade.py:451 EquityIdea (no idea-id); db.py:290 SCHEMA_VERSION=28; grep signal_ledger/mark_to_market=0; signal_validation.py:13-23 takes…,impact 95/feas 80/fit 98/nov 80 — the throughline keystone; everything in B depends on it | All grounding verified; evidence corrected: validator does NOT re-run cascade (infeasib…
R005,1 - Do First,86,B1,Honesty & Real Data,fix,"De-mock investor PDF risk/scenario/signal tables, stamp ILLUSTRATIVE","In utils/investor_report_pdf.py render only real rows: stop padding signals to 15 with fabricated entry/stop/target, drop _MOCK_RISK_FACTORS/_MOCK_SCENARIOS, port real-risk logic from investor_report_html.py, rewrite 'proprietary scoring m…",User-downloadable institutional PDF prints invented probabilities + entry/stop/target as 'proprietary scoring model' output — highest-harm honesty defect; can drive capital on fiction.,utils/investor_report_pdf.py; utils/investor_report_html.py,M,High,,carried,SHIPPED 73f3aa1,"investor_report_pdf.py:268/279 mocks, :1412 pad-to-15 w/ :1375 mock prices, :1887/:1896/:2406/:2416 iterate, :1900 footnote; html.py:1488-1517 real l…",[done 2026-06-04] impact95/feas80/fit90/nov60; verified exact lines; highest-harm fabrication on a downloadable artifact | All lines exact; mocks iterated unconditionally; PDF wired in ui/tab_repor…
R006,1 - Do First,86,B7,"Platform, Scale & Code Quality",security,TTL-cache backtests-health behind the openapi-cache pattern,"Wrap _backtests_health (api_server.py:2170) in a module-level bytes cache + ~300s TTL, copying the _get_openapi_bytes lock pattern (664-684). Fix stale '9 validators' docstring (2174) + dispatch comment (810); actual count is 18.",Unauthenticated GET re-runs all 18 validators uncached above the auth gate (812 dispatches before auth at 827) on a single-threaded HTTPServer (4000) — a cheap probe pins the sole worker.,worker/api_server.py; tools/backtests.py,S,High,,sharpened,verified,api_server.py:812>827 (dispatch above auth); 2197 run_all_backtests() uncached; 4000 bare HTTPServer; run_all_backtests()==18,impact90/feas92/fit80/nov72: verified unauth uncached run above auth gate on single-thread HTTPServer; exact lock template exists | All grounding confirmed; count is 18 not 9 (two…
R007,1 - Do First,85,B1,Honesty & Real Data,data,"Wire real canal transit into chokepoint state, not just UI",Feed canal_feed.fetch_suez_stats/fetch_panama_stats into chokepoint_analyzer: derive current_risk_level/disruption_type/daily_vessels from live status+capacity_utilization_pct instead of hardcoded CHOKEPOINTS for the 2 canal nodes feeding …,Chokepoint is the #1 SSI weight (0.29) and is 100% hardcoded; a real canal feed exists but only paints 2 UI tabs. Flips the top SSI weight's 2 canal nodes to observed transit.,processing/chokepoint_analyzer.py; data/canal_feed.py; processing/shipping_stress_index.py,M,High,,sharpened,verified,chokepoint_analyzer.py:78-79 Suez risk/disruption hardcoded; canal_feed.py:335/374 fetch fns; grep canal_feed->only ui/tab_chokepoints+source_health;…,impact90/feas82/fit92/nov65; feed already exists+unwired into top SSI weight — cheapest highest-leverage real flip | All 4 claims hold. Tightened scope: feed covers only Suez+Pana…
R008,1 - Do First,84,B4,Trading & Freight-as-Asset,feature,Overlay user book onto cascade + real-history VaR,New processing/book_exposure.py joins session_state positions × COMPANY_COMMODITY_EXPOSURE × score_equity_ideas for per-name cascade contribution + book concentration; wire risk_lab.portfolio_var/stress_test_all_scenarios(weights) into _re…,Portfolio tab never touches the cascade; its VaR/Sharpe/MaxDD/BDI-corr are pure rng.normal (self-labeled 'Simulated 252-day MC'). risk_lab already takes weights — this is the research-to-PM bridge.,processing/book_exposure.py(new); ui/tab_portfolio.py; processing/exposure_matrix.py; processing/disruption_cascade.py; processing/risk_lab.py; state/scenarios…,M,High,Replace synthetic optimizer panel with persisted real per-ticker returns,sharpened,verified,"tab_portfolio.py:162 session_state book; :660-681 rng.normal VaR/BDI-corr; risk_lab.py:178 portfolio_var,:316 stress_test_all_scenarios; cascade has …","impact92 feas78 fit95 nov72 — merged overlay+real-book-VaR; the canonical PM bridge, all chassis exists | All evidence verified; book_exposure.py absent; tab_portfolio greps zero …"
R009,1 - Do First,84,B2,Track Record & Coherent Risk,feature,Coherent Stress-VaR/ES: run cascade into the loss distribution,"New processing/stress_var.py: map cascade conviction×direction → per-ticker return shocks, push each BUILTIN_SCENARIO through them, Monte-Carlo book P&L → decomposable ES. Replace stress_test_scenario's overlay_multiplier path and tab_risk…",VaR runs on a stable_hash synthetic panel; stress uses hardcoded ticker:ZIM.return=1.18 multipliers — risk ignores the headline disruption. This grounds it in the real cascade.,processing/stress_var.py; processing/risk_lab.py; processing/disruption_cascade.py; processing/supply_shock_scenarios.py; processing/exposure_matrix.py; state/…,L,High,,sharpened,verified,no stress_var.py(grep=0); tab_risk_lab.py:77/431 _synth_returns_panel; risk_lab.py:296 overlay_multiplier(ticker:T.return); scenarios.py:277 ZIM=1.18…,"impact 90/feas 70/fit 95/nov 78 — the F-theme keystone; reuses cascade+scenarios chassis | All cites verified; cascade emits conviction_score[0,1]+direction; scenarios live in BUI…"
R010,1 - Do First,84,B3,Maritime Risk & Geopolitics,fix,Add ILLUSTRATIVE banner to Compliance tab until engine lands,"In tab_compliance.render add a top-level ILLUSTRATIVE/SAMPLE banner and change subtitle off 'Live'; gate dashboard metric_card_row '847'/'164' and _PSC_DETENTIONS table as modeled, not live.","Subtitle claims 'Live sanctions screening' over fully hardcoded constants and 10 fabricated PSC vessels — active-misrepresentation class, same as Investor-PDF Fix 1.",ui/tab_compliance.py,S,Med,,sharpened,SHIPPED 73f3aa1,tab_compliance.py:943 'Live sanctions screening'; :451 '847'; :453 '164'; :366 _PSC_DETENTIONS fabricated; :59 _COMPLIANCE_SOURCES all modeled/demo,"[done 2026-06-04] impact78 feas95 fit95 nov55 — honesty-first throughline, tiny effort, verified misrepresentation; ships before engine | All cites accurate; no top-level banner exists (only per-se…"
R011,1 - Do First,84,B7,"Platform, Scale & Code Quality",fix,Stamp scheduler cadence gate only on job success,Split _job_due into a read-only check + stamp_run() the job calls on success; _run_gated stamps only when fn returns success=True. Remove the INSERT-OR-REPLACE from the due-check.,A transient FRED/yfinance blip during the daily window leaves a stamped gate + failed report; next pass sees not-due → ~24h silent miss for the daily briefing.,worker/scheduler.py,M,High,,sharpened,verified,scheduler.py:1893 INSERT stamps before return True; 1919-1923 _run_gated runs fn after; 1969-1971 daily briefing; run_daily_briefing_job returns succ…,impact88/feas80/fit85/nov75: verified _job_due stamps BEFORE fn runs; failed daily build silently locks out for 24h | Verified stamp-before-run; prior fix 4fea40d added the gates …
R012,1 - Do First,84,B8,Decarbonization & Monetization,feature,Ship public unauthenticated GET-by-slug route for shared reports,"Add a pre-auth GET /p/<slug> route in api_server.do_GET that calls report_history.load_public_report(slug, query['pw']) and serves text/html; load_public_report already enforces expiry+password.",make_public mints slugs (api_server.py:3155) but load_public_report is never imported/called in api_server — links are mintable yet un-viewable; the share feature is half-built.,worker/api_server.py; utils/report_history.py,S,High,,new,verified,"report_history.py:591 load_public_report(expiry+pw, never raises); api_server.py:794-824 pre-auth=health/openapi/backtests/ics only; no /p/ route (gr…","impact82 feas95 fit78 nov72; S-effort, completes a half-built feature, both ends already exist | Confirmed both ends exist; load_public_report unused in api_server; added ?pw= pas…"
R013,2 - High,83,B6,"UX, Visualization & LLM",feature,Build deep-linkable instrument tearsheet page (ticker-first),"New ui/tab_tearsheet.py composing company_profiler profile, disruption_cascade EquityIdea, exposure_matrix vector + SSI contribution/news/open-alerts for one ticker, dispatched on session_state['active_entity'] via ?entity= routing.",tab_carriers._render_deep_dives is carriers-only and buried in one section; no single page collects an instrument's full disruption read; cited dataclasses are already per-ticker decomposed.,ui/tab_tearsheet.py; processing/company_profiler.py; processing/disruption_cascade.py; processing/exposure_matrix.py; ui/url_state.py,M,High,Add ?entity= deep-link routing alongside ?section=,sharpened,verified,tab_carriers.py:545 _render_deep_dives carriers-only; disruption_cascade.py:451 EquityIdea per-ticker; url_state.py has ?section= only (no ?entity=),impact90/feas75/fit85/nov80: the daily-driver surface; pure reuse of existing decomposed dataclasses | All anchors verified; no tab_tearsheet.py; ?entity= absent. Tightened to tic…
